year,sport,event,sex,change_type,event_family,note
1912,Archery,Archery Men's Continental Style,men,removed,Continental Style,Present in 1908 but absent in 1912.
1912,Archery,Archery Men's Double York Round,men,removed,Double York Round,Present in 1908 but absent in 1912.
1912,Archery,Archery Women's Double National Round,women,removed,Double National Round,Present in 1908 but absent in 1912.
1912,Athletics,"Athletics Men's 1,600 metres Medley Relay",men,removed,"1,600 metres Medley Relay",Present in 1908 but absent in 1912.
1912,Athletics,Athletics Men's 10 mile Walk,men,removed,10 mile Walk,Present in 1908 but absent in 1912.
1912,Athletics,"Athletics Men's 3 mile, Team",men,removed,"3 mile, Team",Present in 1908 but absent in 1912.
1912,Athletics,"Athletics Men's 3,200 metres Steeplechase",men,removed,"3,200 metres Steeplechase",Present in 1908 but absent in 1912.
1912,Athletics,"Athletics Men's 3,500 metres Walk",men,removed,"3,500 metres Walk",Present in 1908 but absent in 1912.
1912,Athletics,Athletics Men's 400 metres Hurdles,men,removed,400 metres Hurdles,Present in 1908 but absent in 1912.
1912,Athletics,Athletics Men's 5 mile,men,removed,5 mile,Present in 1908 but absent in 1912.
1912,Athletics,"Athletics Men's Discus Throw, Greek Style",men,removed,"Discus Throw, Greek Style",Present in 1908 but absent in 1912.
1912,Athletics,"Athletics Men's Javelin Throw, Freestyle",men,removed,"Javelin Throw, Freestyle",Present in 1908 but absent in 1912.
1912,Boxing,Boxing Men's Bantamweight,men,removed,Bantamweight,Present in 1908 but absent in 1912.
1912,Boxing,Boxing Men's Featherweight,men,removed,Featherweight,Present in 1908 but absent in 1912.
1912,Boxing,Boxing Men's Heavyweight,men,removed,Heavyweight,Present in 1908 but absent in 1912.
1912,Boxing,Boxing Men's Lightweight,men,removed,Lightweight,Present in 1908 but absent in 1912.
1912,Boxing,Boxing Men's Middleweight,men,removed,Middleweight,Present in 1908 but absent in 1912.
1912,Cycling,Cycling Men's 100 kilometres,men,removed,100 kilometres,Present in 1908 but absent in 1912.
1912,Cycling,Cycling Men's 20 kilometres,men,removed,20 kilometres,Present in 1908 but absent in 1912.
1912,Cycling,"Cycling Men's 5,000 metres",men,removed,"5,000 metres",Present in 1908 but absent in 1912.
1912,Cycling,Cycling Men's Sprint,men,removed,Sprint,Present in 1908 but absent in 1912.
1912,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",men,removed,"Tandem Sprint, 2,000 metres",Present in 1908 but absent in 1912.
1912,Cycling,"Cycling Men's Team Pursuit, 1,980 yards",men,removed,"Team Pursuit, 1,980 yards",Present in 1908 but absent in 1912.
1912,Figure Skating,Figure Skating Men's Singles,men,removed,Singles,Present in 1908 but absent in 1912.
1912,Figure Skating,Figure Skating Men's Special Figures,men,removed,Special Figures,Present in 1908 but absent in 1912.
1912,Figure Skating,Figure Skating Mixed Pairs,mixed,removed,Pairs,Present in 1908 but absent in 1912.
1912,Figure Skating,Figure Skating Women's Singles,women,removed,Singles,Present in 1908 but absent in 1912.
1912,Hockey,Hockey Men's Hockey,men,removed,Hockey,Present in 1908 but absent in 1912.
1912,Jeu De Paume,Jeu De Paume Men's Singles,men,removed,Singles,Present in 1908 but absent in 1912.
1912,Lacrosse,Lacrosse Men's Lacrosse,men,removed,Lacrosse,Present in 1908 but absent in 1912.
1912,Motorboating,Motorboating Mixed A-Class (Open),mixed,removed,A-Class (),Present in 1908 but absent in 1912.
1912,Motorboating,Motorboating Mixed B-Class (Under 60 Feet),mixed,removed,B-Class (Under 60 Feet),Present in 1908 but absent in 1912.
1912,Motorboating,Motorboating Mixed C-Class,mixed,removed,C-Class,Present in 1908 but absent in 1912.
1912,Polo,Polo Men's Polo,men,removed,Polo,Present in 1908 but absent in 1912.
1912,Racquets,Racquets Men's Doubles,men,removed,Doubles,Present in 1908 but absent in 1912.
1912,Racquets,Racquets Men's Singles,men,removed,Singles,Present in 1908 but absent in 1912.
1912,Rowing,Rowing Men's Coxless Fours,men,removed,Coxless Fours,Present in 1908 but absent in 1912.
1912,Rowing,Rowing Men's Coxless Pairs,men,removed,Coxless Pairs,Present in 1908 but absent in 1912.
1912,Rugby,Rugby Men's Rugby,men,removed,Rugby,Present in 1908 but absent in 1912.
1912,Sailing,Sailing Mixed 7 metres,mixed,removed,7 metres,Present in 1908 but absent in 1912.
1912,Shooting,"Shooting Men's Free Pistol, 50 yards, Team",men,removed,"Free Pistol, 50 yards, Team",Present in 1908 but absent in 1912.
1912,Shooting,"Shooting Men's Free Pistol, 50 yards",men,removed,"Free Pistol, 50 yards",Present in 1908 but absent in 1912.
1912,Shooting,"Shooting Men's Free Rifle, 1,000 Yards",men,removed,"Free Rifle, 1,000 Yards",Present in 1908 but absent in 1912.
1912,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",men,removed,"Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Present in 1908 but absent in 1912.
1912,Shooting,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",men,removed,"Small-Bore Rifle, 50 and 100 yards, Team",Present in 1908 but absent in 1912.
1912,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",men,removed,"Small-Bore Rifle, Disappearing Target, 25 yards",Present in 1908 but absent in 1912.
1912,Shooting,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",men,removed,"Small-Bore Rifle, Moving Target, 25 yards",Present in 1908 but absent in 1912.
1912,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",men,removed,"Small-Bore Rifle, Prone, 50 and 100 yards",Present in 1908 but absent in 1912.
1912,Wrestling,"Wrestling Men's Bantamweight, Freestyle",men,removed,"Bantamweight, Freestyle",Present in 1908 but absent in 1912.
1912,Wrestling,"Wrestling Men's Featherweight, Freestyle",men,removed,"Featherweight, Freestyle",Present in 1908 but absent in 1912.
1912,Wrestling,"Wrestling Men's Heavyweight, Freestyle",men,removed,"Heavyweight, Freestyle",Present in 1908 but absent in 1912.
1912,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",men,removed,"Light-Heavyweight, Greco-Roman",Present in 1908 but absent in 1912.
1912,Wrestling,"Wrestling Men's Lightweight, Freestyle",men,removed,"Lightweight, Freestyle",Present in 1908 but absent in 1912.
1912,Wrestling,"Wrestling Men's Middleweight, Freestyle",men,removed,"Middleweight, Freestyle",Present in 1908 but absent in 1912.
1912,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",men,removed,"Middleweight, Greco-Roman",Present in 1908 but absent in 1912.
1920,Archery,"Archery Men's Pole Archery, Large Birds, Individual",men,added,"Pole Archery, Large Birds, Individual",Detected from adjacent Summer Games event-set comparison.
1920,Archery,"Archery Men's Pole Archery, Large Birds, Team",men,added,"Pole Archery, Large Birds, Team",Detected from adjacent Summer Games event-set comparison.
1920,Archery,"Archery Men's Pole Archery, Small Birds, Individual",men,added,"Pole Archery, Small Birds, Individual",Detected from adjacent Summer Games event-set comparison.
1920,Archery,"Archery Men's Pole Archery, Small Birds, Team",men,added,"Pole Archery, Small Birds, Team",Detected from adjacent Summer Games event-set comparison.
1920,Archery,"Archery Men's Target Archery, 28 metres, Individual",men,added,"Target Archery, 28 metres, Individual",Detected from adjacent Summer Games event-set comparison.
1920,Archery,"Archery Men's Target Archery, 28 metres, Team",men,added,"Target Archery, 28 metres, Team",Detected from adjacent Summer Games event-set comparison.
1920,Archery,"Archery Men's Target Archery, 33 metres, Individual",men,added,"Target Archery, 33 metres, Individual",Detected from adjacent Summer Games event-set comparison.
1920,Archery,"Archery Men's Target Archery, 33 metres, Team",men,added,"Target Archery, 33 metres, Team",Detected from adjacent Summer Games event-set comparison.
1920,Archery,"Archery Men's Target Archery, 50 metres, Individual",men,added,"Target Archery, 50 metres, Individual",Detected from adjacent Summer Games event-set comparison.
1920,Archery,"Archery Men's Target Archery, 50 metres, Team",men,added,"Target Archery, 50 metres, Team",Detected from adjacent Summer Games event-set comparison.
1920,Athletics,"Athletics Men's 3,000 metres Steeplechase",men,added,"3,000 metres Steeplechase",Detected from adjacent Summer Games event-set comparison.
1920,Athletics,"Athletics Men's 3,000 metres Walk",men,restored,"3,000 metres Walk",Detected from adjacent Summer Games event-set comparison.
1920,Athletics,Athletics Men's 400 metres Hurdles,men,restored,400 metres Hurdles,Detected from adjacent Summer Games event-set comparison.
1920,Athletics,Athletics Men's 56-pound Weight Throw,men,restored,56-pound Weight Throw,Detected from adjacent Summer Games event-set comparison.
1920,Boxing,Boxing Men's Bantamweight,men,restored,Bantamweight,Detected from adjacent Summer Games event-set comparison.
1920,Boxing,Boxing Men's Featherweight,men,restored,Featherweight,Detected from adjacent Summer Games event-set comparison.
1920,Boxing,Boxing Men's Flyweight,men,restored,Flyweight,Detected from adjacent Summer Games event-set comparison.
1920,Boxing,Boxing Men's Heavyweight,men,restored,Heavyweight,Detected from adjacent Summer Games event-set comparison.
1920,Boxing,Boxing Men's Light-Heavyweight,men,added,Light-Heavyweight,Detected from adjacent Summer Games event-set comparison.
1920,Boxing,Boxing Men's Lightweight,men,restored,Lightweight,Detected from adjacent Summer Games event-set comparison.
1920,Boxing,Boxing Men's Middleweight,men,restored,Middleweight,Detected from adjacent Summer Games event-set comparison.
1920,Boxing,Boxing Men's Welterweight,men,restored,Welterweight,Detected from adjacent Summer Games event-set comparison.
1920,Cycling,Cycling Men's 50 kilometres,men,added,50 kilometres,Detected from adjacent Summer Games event-set comparison.
1920,Cycling,Cycling Men's Sprint,men,restored,Sprint,Detected from adjacent Summer Games event-set comparison.
1920,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",men,restored,"Tandem Sprint, 2,000 metres",Detected from adjacent Summer Games event-set comparison.
1920,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",men,added,"Team Pursuit, 4,000 metres",Detected from adjacent Summer Games event-set comparison.
1920,Diving,Diving Women's Springboard,women,added,Springboard,Detected from adjacent Summer Games event-set comparison.
1920,Equestrianism,"Equestrianism Men's Vaulting, Individual",men,added,"Vaulting, Individual",Detected from adjacent Summer Games event-set comparison.
1920,Equestrianism,"Equestrianism Men's Vaulting, Team",men,added,"Vaulting, Team",Detected from adjacent Summer Games event-set comparison.
1920,Fencing,"Fencing Men's Foil, Team",men,restored,"Foil, Team",Detected from adjacent Summer Games event-set comparison.
1920,Figure Skating,Figure Skating Men's Singles,men,restored,Singles,Detected from adjacent Summer Games event-set comparison.
1920,Figure Skating,Figure Skating Mixed Pairs,mixed,restored,Pairs,Detected from adjacent Summer Games event-set comparison.
1920,Figure Skating,Figure Skating Women's Singles,women,restored,Singles,Detected from adjacent Summer Games event-set comparison.
1920,Hockey,Hockey Men's Hockey,men,restored,Hockey,Detected from adjacent Summer Games event-set comparison.
1920,Ice Hockey,Ice Hockey Men's Ice Hockey,men,added,Ice Hockey,Detected from adjacent Summer Games event-set comparison.
1920,Polo,Polo Men's Polo,men,restored,Polo,Detected from adjacent Summer Games event-set comparison.
1920,Rowing,Rowing Men's Coxed Fours,men,restored,Coxed Fours,Detected from adjacent Summer Games event-set comparison.
1920,Rowing,Rowing Men's Coxed Pairs,men,restored,Coxed Pairs,Detected from adjacent Summer Games event-set comparison.
1920,Rowing,Rowing Men's Double Sculls,men,restored,Double Sculls,Detected from adjacent Summer Games event-set comparison.
1920,Rugby,Rugby Men's Rugby,men,restored,Rugby,Detected from adjacent Summer Games event-set comparison.
1920,Sailing,Sailing Mixed 12 foot,mixed,added,12 foot,Detected from adjacent Summer Games event-set comparison.
1920,Sailing,Sailing Mixed 18 foot,mixed,added,18 foot,Detected from adjacent Summer Games event-set comparison.
1920,Sailing,Sailing Mixed 30 metres,mixed,added,30 metres,Detected from adjacent Summer Games event-set comparison.
1920,Sailing,Sailing Mixed 40 metres,mixed,added,40 metres,Detected from adjacent Summer Games event-set comparison.
1920,Sailing,Sailing Mixed 6.5 metres,mixed,added,6.5 metres,Detected from adjacent Summer Games event-set comparison.
1920,Sailing,Sailing Mixed 7 metres,mixed,restored,7 metres,Detected from adjacent Summer Games event-set comparison.
1920,Shooting,"Shooting Men's Military Pistol, 30 metres",men,added,"Military Pistol, 30 metres",Detected from adjacent Summer Games event-set comparison.
1920,Shooting,"Shooting Men's Military Pistol, Team",men,added,"Military Pistol, Team",Detected from adjacent Summer Games event-set comparison.
1920,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",men,added,"Military Rifle, 300 metres and 600 metres, Prone, Team",Detected from adjacent Summer Games event-set comparison.
1920,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team",men,added,"Military Rifle, Prone, 300 metres, Team",Detected from adjacent Summer Games event-set comparison.
1920,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres",men,added,"Military Rifle, Prone, 300 metres",Detected from adjacent Summer Games event-set comparison.
1920,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",men,added,"Military Rifle, Prone, 600 metres, Team",Detected from adjacent Summer Games event-set comparison.
1920,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres",men,added,"Military Rifle, Prone, 600 metres",Detected from adjacent Summer Games event-set comparison.
1920,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres, Team",men,added,"Military Rifle, Standing, 300 metres, Team",Detected from adjacent Summer Games event-set comparison.
1920,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres",men,added,"Military Rifle, Standing, 300 metres",Detected from adjacent Summer Games event-set comparison.
1920,Shooting,"Shooting Men's Running Target, Double Shot, Team",men,added,"Running Target, Double Shot, Team",Detected from adjacent Summer Games event-set comparison.
1920,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",men,added,"Small Bore-Rifle, Standing, 50 metres, Team",Detected from adjacent Summer Games event-set comparison.
1920,Shooting,"Shooting Men's Small-Bore Rifle, Standing, 50 metres",men,added,"Small-Bore Rifle, Standing, 50 metres",Detected from adjacent Summer Games event-set comparison.
1920,Shooting,Shooting Men's Unknown Event,men,added,Unknown Event,Detected from adjacent Summer Games event-set comparison.
1920,Swimming,Swimming Women's 300 metres Freestyle,women,added,300 metres Freestyle,Detected from adjacent Summer Games event-set comparison.
1920,Tennis,Tennis Women's Doubles,women,added,Doubles,Detected from adjacent Summer Games event-set comparison.
1920,Weightlifting,Weightlifting Men's Featherweight,men,added,Featherweight,Detected from adjacent Summer Games event-set comparison.
1920,Weightlifting,Weightlifting Men's Heavyweight,men,added,Heavyweight,Detected from adjacent Summer Games event-set comparison.
1920,Weightlifting,Weightlifting Men's Light-Heavyweight,men,added,Light-Heavyweight,Detected from adjacent Summer Games event-set comparison.
1920,Weightlifting,Weightlifting Men's Lightweight,men,added,Lightweight,Detected from adjacent Summer Games event-set comparison.
1920,Weightlifting,Weightlifting Men's Middleweight,men,added,Middleweight,Detected from adjacent Summer Games event-set comparison.
1920,Wrestling,"Wrestling Men's Featherweight, Freestyle",men,restored,"Featherweight, Freestyle",Detected from adjacent Summer Games event-set comparison.
1920,Wrestling,"Wrestling Men's Heavyweight, Freestyle",men,restored,"Heavyweight, Freestyle",Detected from adjacent Summer Games event-set comparison.
1920,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",men,added,"Light-Heavyweight, Freestyle",Detected from adjacent Summer Games event-set comparison.
1920,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",men,restored,"Light-Heavyweight, Greco-Roman",Detected from adjacent Summer Games event-set comparison.
1920,Wrestling,"Wrestling Men's Lightweight, Freestyle",men,restored,"Lightweight, Freestyle",Detected from adjacent Summer Games event-set comparison.
1920,Wrestling,"Wrestling Men's Middleweight, Freestyle",men,restored,"Middleweight, Freestyle",Detected from adjacent Summer Games event-set comparison.
1920,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",men,restored,"Middleweight, Greco-Roman",Detected from adjacent Summer Games event-set comparison.
1920,Athletics,"Athletics Men's Discus Throw, Both Hands",men,removed,"Discus Throw, Both Hands",Present in 1912 but absent in 1920.
1920,Athletics,"Athletics Men's Javelin Throw, Both Hands",men,removed,"Javelin Throw, Both Hands",Present in 1912 but absent in 1920.
1920,Athletics,"Athletics Men's Shot Put, Both Hands",men,removed,"Shot Put, Both Hands",Present in 1912 but absent in 1920.
1920,Athletics,Athletics Men's Standing High Jump,men,removed,Standing High Jump,Present in 1912 but absent in 1920.
1920,Athletics,Athletics Men's Standing Long Jump,men,removed,Standing Long Jump,Present in 1912 but absent in 1920.
1920,Rowing,"Rowing Men's Coxed Fours, Inriggers",men,removed,"Coxed Fours, Inriggers",Present in 1912 but absent in 1920.
1920,Rowing,"Rowing Men's Coxed Fours, Outriggers",men,removed,"Coxed Fours, Outriggers",Present in 1912 but absent in 1920.
1920,Shooting,"Shooting Men's Dueling Pistol, 30 metres, Team",men,removed,"Dueling Pistol, 30 metres, Team",Present in 1912 but absent in 1920.
1920,Shooting,"Shooting Men's Dueling Pistol, 30 metres",men,removed,"Dueling Pistol, 30 metres",Present in 1912 but absent in 1920.
1920,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",men,removed,"Military Rifle, 200, 400, 500 and 600 metres, Team",Present in 1912 but absent in 1920.
1920,Shooting,"Shooting Men's Military Rifle, Any Position, 600 metres",men,removed,"Military Rifle, Any Position, 600 metres",Present in 1912 but absent in 1920.
1920,Shooting,"Shooting Men's Military Rifle, Three Positions, 300 metres",men,removed,"Military Rifle, Three Positions, 300 metres",Present in 1912 but absent in 1920.
1920,Shooting,"Shooting Men's Small-Bore Rifle, Any Position, 50 metres",men,removed,"Small-Bore Rifle, Any Position, 50 metres",Present in 1912 but absent in 1920.
1920,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",men,removed,"Small-Bore Rifle, Disappearing Target, 25 metres, Team",Present in 1912 but absent in 1920.
1920,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres",men,removed,"Small-Bore Rifle, Disappearing Target, 25 metres",Present in 1912 but absent in 1920.
1920,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",men,removed,"Small-Bore Rifle, Prone, 50 metres, Team",Present in 1912 but absent in 1920.
1920,Tennis,"Tennis Men's Doubles, Covered Courts",men,removed,"Doubles, Covered Courts",Present in 1912 but absent in 1920.
1920,Tennis,"Tennis Men's Singles, Covered Courts",men,removed,"Singles, Covered Courts",Present in 1912 but absent in 1920.
1920,Tennis,"Tennis Mixed Doubles, Covered Courts",mixed,removed,"Doubles, Covered Courts",Present in 1912 but absent in 1920.
1920,Tennis,"Tennis Women's Singles, Covered Courts",women,removed,"Singles, Covered Courts",Present in 1912 but absent in 1920.
1920,Wrestling,"Wrestling Men's Middleweight A, Greco-Roman",men,removed,"Middleweight A, Greco-Roman",Present in 1912 but absent in 1920.
1920,Wrestling,"Wrestling Men's Middleweight B, Greco-Roman",men,removed,"Middleweight B, Greco-Roman",Present in 1912 but absent in 1920.
1924,Fencing,"Fencing Women's Foil, Individual",women,added,"Foil, Individual",Detected from adjacent Summer Games event-set comparison.
1924,Gymnastics,Gymnastics Men's Horizontal Bar,men,restored,Horizontal Bar,Detected from adjacent Summer Games event-set comparison.
1924,Gymnastics,Gymnastics Men's Horse Vault,men,restored,Horse Vault,Detected from adjacent Summer Games event-set comparison.
1924,Gymnastics,Gymnastics Men's Parallel Bars,men,restored,Parallel Bars,Detected from adjacent Summer Games event-set comparison.
1924,Gymnastics,Gymnastics Men's Pommelled Horse,men,restored,Pommelled Horse,Detected from adjacent Summer Games event-set comparison.
1924,Gymnastics,Gymnastics Men's Rings,men,restored,Rings,Detected from adjacent Summer Games event-set comparison.
1924,Gymnastics,Gymnastics Men's Rope Climbing,men,restored,Rope Climbing,Detected from adjacent Summer Games event-set comparison.
1924,Gymnastics,Gymnastics Men's Side Horse,men,restored,Side Horse,Detected from adjacent Summer Games event-set comparison.
1924,Rowing,Rowing Men's Coxless Fours,men,restored,Coxless Fours,Detected from adjacent Summer Games event-set comparison.
1924,Rowing,Rowing Men's Coxless Pairs,men,restored,Coxless Pairs,Detected from adjacent Summer Games event-set comparison.
1924,Sailing,Sailing Mixed One Person Dinghy,mixed,added,One Person Dinghy,Detected from adjacent Summer Games event-set comparison.
1924,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",men,added,"Free Rifle, 400, 600 and 800 metres, Team",Detected from adjacent Summer Games event-set comparison.
1924,Shooting,"Shooting Men's Free Rifle, Prone, 600 metres",men,added,"Free Rifle, Prone, 600 metres",Detected from adjacent Summer Games event-set comparison.
1924,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",men,added,"Rapid-Fire Pistol, 25 metres",Detected from adjacent Summer Games event-set comparison.
1924,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",men,added,"Small-Bore Rifle, Prone, 50 metres",Detected from adjacent Summer Games event-set comparison.
1924,Swimming,Swimming Women's 100 metres Backstroke,women,added,100 metres Backstroke,Detected from adjacent Summer Games event-set comparison.
1924,Swimming,Swimming Women's 200 metres Breaststroke,women,added,200 metres Breaststroke,Detected from adjacent Summer Games event-set comparison.
1924,Swimming,Swimming Women's 400 metres Freestyle,women,added,400 metres Freestyle,Detected from adjacent Summer Games event-set comparison.
1924,Wrestling,"Wrestling Men's Bantamweight, Freestyle",men,restored,"Bantamweight, Freestyle",Detected from adjacent Summer Games event-set comparison.
1924,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",men,added,"Bantamweight, Greco-Roman",Detected from adjacent Summer Games event-set comparison.
1924,Wrestling,"Wrestling Men's Welterweight, Freestyle",men,restored,"Welterweight, Freestyle",Detected from adjacent Summer Games event-set comparison.
1924,Archery,"Archery Men's Pole Archery, Large Birds, Individual",men,removed,"Pole Archery, Large Birds, Individual",Present in 1920 but absent in 1924.
1924,Archery,"Archery Men's Pole Archery, Large Birds, Team",men,removed,"Pole Archery, Large Birds, Team",Present in 1920 but absent in 1924.
1924,Archery,"Archery Men's Pole Archery, Small Birds, Individual",men,removed,"Pole Archery, Small Birds, Individual",Present in 1920 but absent in 1924.
1924,Archery,"Archery Men's Pole Archery, Small Birds, Team",men,removed,"Pole Archery, Small Birds, Team",Present in 1920 but absent in 1924.
1924,Archery,"Archery Men's Target Archery, 28 metres, Individual",men,removed,"Target Archery, 28 metres, Individual",Present in 1920 but absent in 1924.
1924,Archery,"Archery Men's Target Archery, 28 metres, Team",men,removed,"Target Archery, 28 metres, Team",Present in 1920 but absent in 1924.
1924,Archery,"Archery Men's Target Archery, 33 metres, Individual",men,removed,"Target Archery, 33 metres, Individual",Present in 1920 but absent in 1924.
1924,Archery,"Archery Men's Target Archery, 33 metres, Team",men,removed,"Target Archery, 33 metres, Team",Present in 1920 but absent in 1924.
1924,Archery,"Archery Men's Target Archery, 50 metres, Individual",men,removed,"Target Archery, 50 metres, Individual",Present in 1920 but absent in 1924.
1924,Archery,"Archery Men's Target Archery, 50 metres, Team",men,removed,"Target Archery, 50 metres, Team",Present in 1920 but absent in 1924.
1924,Athletics,"Athletics Men's 3,000 metres Walk",men,removed,"3,000 metres Walk",Present in 1920 but absent in 1924.
1924,Athletics,Athletics Men's 56-pound Weight Throw,men,removed,56-pound Weight Throw,Present in 1920 but absent in 1924.
1924,Equestrianism,"Equestrianism Men's Vaulting, Individual",men,removed,"Vaulting, Individual",Present in 1920 but absent in 1924.
1924,Equestrianism,"Equestrianism Men's Vaulting, Team",men,removed,"Vaulting, Team",Present in 1920 but absent in 1924.
1924,Figure Skating,Figure Skating Men's Singles,men,removed,Singles,Present in 1920 but absent in 1924.
1924,Figure Skating,Figure Skating Mixed Pairs,mixed,removed,Pairs,Present in 1920 but absent in 1924.
1924,Figure Skating,Figure Skating Women's Singles,women,removed,Singles,Present in 1920 but absent in 1924.
1924,Gymnastics,"Gymnastics Men's Team All-Around, Free System",men,removed,"Team All-Around, Free System",Present in 1920 but absent in 1924.
1924,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",men,removed,"Team All-Around, Swedish System",Present in 1920 but absent in 1924.
1924,Hockey,Hockey Men's Hockey,men,removed,Hockey,Present in 1920 but absent in 1924.
1924,Ice Hockey,Ice Hockey Men's Ice Hockey,men,removed,Ice Hockey,Present in 1920 but absent in 1924.
1924,Sailing,Sailing Mixed 10 metres,mixed,removed,10 metres,Present in 1920 but absent in 1924.
1924,Sailing,Sailing Mixed 12 foot,mixed,removed,12 foot,Present in 1920 but absent in 1924.
1924,Sailing,Sailing Mixed 12 metres,mixed,removed,12 metres,Present in 1920 but absent in 1924.
1924,Sailing,Sailing Mixed 18 foot,mixed,removed,18 foot,Present in 1920 but absent in 1924.
1924,Sailing,Sailing Mixed 30 metres,mixed,removed,30 metres,Present in 1920 but absent in 1924.
1924,Sailing,Sailing Mixed 40 metres,mixed,removed,40 metres,Present in 1920 but absent in 1924.
1924,Sailing,Sailing Mixed 6.5 metres,mixed,removed,6.5 metres,Present in 1920 but absent in 1924.
1924,Sailing,Sailing Mixed 7 metres,mixed,removed,7 metres,Present in 1920 but absent in 1924.
1924,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",men,removed,"Free Pistol, 50 metres, Team",Present in 1920 but absent in 1924.
1924,Shooting,"Shooting Men's Free Pistol, 50 metres",men,removed,"Free Pistol, 50 metres",Present in 1920 but absent in 1924.
1924,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",men,removed,"Free Rifle, Three Positions, 300 metres, Team",Present in 1920 but absent in 1924.
1924,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",men,removed,"Free Rifle, Three Positions, 300 metres",Present in 1920 but absent in 1924.
1924,Shooting,"Shooting Men's Military Pistol, 30 metres",men,removed,"Military Pistol, 30 metres",Present in 1920 but absent in 1924.
1924,Shooting,"Shooting Men's Military Pistol, Team",men,removed,"Military Pistol, Team",Present in 1920 but absent in 1924.
1924,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",men,removed,"Military Rifle, 300 metres and 600 metres, Prone, Team",Present in 1920 but absent in 1924.
1924,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team",men,removed,"Military Rifle, Prone, 300 metres, Team",Present in 1920 but absent in 1924.
1924,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres",men,removed,"Military Rifle, Prone, 300 metres",Present in 1920 but absent in 1924.
1924,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",men,removed,"Military Rifle, Prone, 600 metres, Team",Present in 1920 but absent in 1924.
1924,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres",men,removed,"Military Rifle, Prone, 600 metres",Present in 1920 but absent in 1924.
1924,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres, Team",men,removed,"Military Rifle, Standing, 300 metres, Team",Present in 1920 but absent in 1924.
1924,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres",men,removed,"Military Rifle, Standing, 300 metres",Present in 1920 but absent in 1924.
1924,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",men,removed,"Small Bore-Rifle, Standing, 50 metres, Team",Present in 1920 but absent in 1924.
1924,Shooting,"Shooting Men's Small-Bore Rifle, Standing, 50 metres",men,removed,"Small-Bore Rifle, Standing, 50 metres",Present in 1920 but absent in 1924.
1924,Shooting,Shooting Men's Unknown Event,men,removed,Unknown Event,Present in 1920 but absent in 1924.
1924,Swimming,Swimming Men's 400 metres Breaststroke,men,removed,400 metres Breaststroke,Present in 1920 but absent in 1924.
1924,Swimming,Swimming Women's 300 metres Freestyle,women,removed,300 metres Freestyle,Present in 1920 but absent in 1924.
1924,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,men,removed,Tug-Of-War,Present in 1920 but absent in 1924.
1928,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",mixed,added,"Architecture, Architectural Designs",Detected from adjacent Summer Games event-set comparison.
